,Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,W/L
0,Amani Oruwariye,DET,0,9,7,77.8%,66,9.4,7.3,0,97.2,9.7,45,21,0,0,0,0.0,0,9,2,18.2%,W
1,Jeff Okudah,DET,0,8,6,75.0%,48,8.0,6.0,0,89.6,3.8,15,33,0,0,0,0.0,0,3,0,0.0%,W
2,Mike Hughes,DET,0,6,3,50.0%,68,22.7,11.3,1,130.6,21.2,55,13,3,2,0,0.0,2,4,0,0.0%,W
3,Malcolm Rodriguez,DET,0,4,3,75.0%,32,10.7,8.0,0,97.9,8.0,19,13,4,0,0,0.0,0,8,0,0.0%,W
4,Alex Anzalone,DET,0,4,2,50.0%,18,9.0,4.5,0,62.5,7.3,6,12,6,1,1,1.0,3,11,1,8.3%,W
5,Austin Bryant,DET,0,2,1,50.0%,1,1.0,0.5,1,95.8,-0.5,1,0,0,0,0,0.0,0,0,0,,W
6,DeShon Elliott,DET,0,1,1,100.0%,11,11.0,11.0,0,112.5,-3.0,-3,14,2,0,0,0.0,0,5,1,16.7%,W
7,Julian Okwara,DET,0,1,1,100.0%,16,16.0,16.0,0,118.7,3.0,3,13,0,0,0,0.0,0,0,0,,W
8,Alim McNeill,DET,0,0,0,,,,,,,,,,0,2,1,0.0,3,1,0,0.0%,W
9,Charles Harris,DET,0,0,0,,,,,,,,,,0,0,2,0.0,2,2,0,0.0%,W
10,Aidan Hutchinson,DET,0,0,0,,,,,,,,,,0,1,1,0.0,2,0,1,100.0%,W
11,Michael Brockers,DET,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%,W
12,Chris Board,DET,0,1,0,0.0%,,,0.0,,39.6,3.0,,,1,0,0,0.0,0,4,0,0.0%,W
13,Juju Hughes,DET,0,1,0,0.0%,,,0.0,,39.6,3.0,,,2,0,0,0.0,0,8,1,11.1%,W
14,Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,W
15,Cameron Dantzler,MIN,0,6,6,100.0%,69,11.5,11.5,0,114.6,7.8,47,22,0,0,0,0.0,0,8,1,11.1%,W
16,Josh Metellus,MIN,1,7,5,71.4%,48,9.6,6.9,0,50.6,15.7,42,6,0,0,0,0.0,0,11,1,8.3%,W
17,Chandon Sullivan,MIN,0,3,3,100.0%,45,15.0,15.0,0,118.7,2.7,8,37,1,1,0,0.0,1,2,0,0.0%,W
18,Patrick Peterson,MIN,0,9,3,33.3%,45,15.0,5.0,0,50.7,16.0,28,17,0,0,0,0.0,0,5,0,0.0%,W
19,Danielle Hunter,MIN,0,2,2,100.0%,1,0.5,0.5,0,79.2,-1.5,-3,4,0,2,0,0.0,2,3,0,0.0%,W
20,Eric Kendricks,MIN,0,4,2,50.0%,24,12.0,6.0,0,68.7,6.3,8,16,0,1,0,0.0,1,11,0,0.0%,W
21,Camryn Bynum,MIN,0,2,2,100.0%,31,15.5,15.5,1,158.3,8.0,16,15,0,0,0,0.0,0,5,0,0.0%,W
22,Jordan Hicks,MIN,0,3,1,33.3%,5,5.0,1.7,0,42.4,2.0,-1,6,0,0,0,0.0,0,14,0,0.0%,W
23,D.J. Wonnum,MIN,0,0,0,,,,,,,,,,0,1,2,0.0,3,1,0,0.0%,W
24,Za'Darius Smith,MIN,0,0,0,,,,,,,,,,0,1,0,0.0,1,3,0,0.0%,W
25,Dalvin Tomlinson,MIN,0,0,0,,,,,,,,,,0,1,0,0.0,1,4,0,0.0%,W
0,Darnay Holmes,NYG,0,9,8,88.9%,75,9.4,8.3,0,101.4,4.9,19,56,2,1,0,0.0,1,6,0,0.0%,W
1,Fabian Moreau,NYG,0,9,7,77.8%,84,12.0,9.3,1,142.6,10.2,64,20,1,0,0,0.0,0,8,1,11.1%,W
2,Landon Collins,NYG,0,6,5,83.3%,30,6.0,5.0,0,87.5,5.7,17,13,7,0,0,1.0,1,4,1,20.0%,W
3,Micah McFadden,NYG,0,4,4,100.0%,37,9.3,9.3,1,144.8,4.3,17,20,4,0,0,0.0,0,8,1,11.1%,W
4,Cordale Flott,NYG,0,5,2,40.0%,8,4.0,1.6,0,47.9,3.2,-3,11,0,0,0,0.0,0,4,0,0.0%,W
5,Tony Jefferson,NYG,0,3,2,66.7%,13,6.5,4.3,0,75.7,5.7,7,6,3,0,0,0.0,0,1,0,0.0%,W
6,Julian Love,NYG,0,4,2,50.0%,24,12.0,6.0,1,108.3,14.8,24,0,1,0,0,0.0,0,6,0,0.0%,W
7,Dexter Lawrence,NYG,0,2,1,50.0%,6,6.0,3.0,0,56.2,-0.5,2,4,0,2,1,0.0,3,6,0,0.0%,W
8,Kayvon Thibodeaux,NYG,0,1,1,100.0%,5,5.0,5.0,0,87.5,3.0,3,2,0,0,1,0.0,1,6,0,0.0%,W
9,Jaylon Smith,NYG,0,1,1,100.0%,16,16.0,16.0,0,118.7,-1.0,-1,17,5,0,0,1.0,1,10,0,0.0%,W
10,Nick McCloud,NYG,0,3,1,33.3%,1,1.0,0.3,0,42.4,14.0,1,0,1,0,0,0.0,0,2,0,0.0%,W
11,Jihad Ward,NYG,0,0,0,,,,,,,,,,2,0,3,0.0,3,4,0,0.0%,W
12,Leonard Williams,NYG,0,0,0,,,,,,,,,,0,0,1,1.0,2,4,0,0.0%,W
13,Azeez Ojulari,NYG,0,0,0,,,,,,,,,,0,0,0,1.0,1,2,0,0.0%,W
14,Jason Pinnock,NYG,0,0,0,,,,,,,,,,6,0,1,0.0,1,3,0,0.0%,W
15,Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,W
16,Duke Shelley,MIN,0,10,7,70.0%,62,8.9,6.2,0,86.2,8.8,44,18,0,0,0,0.0,0,9,0,0.0%,W
17,Patrick Peterson,MIN,1,9,6,66.7%,67,11.2,7.4,1,86.1,9.3,48,19,1,0,0,0.0,0,4,0,0.0%,W
18,Eric Kendricks,MIN,0,7,6,85.7%,34,5.7,4.9,0,86.9,-1.4,-10,44,3,0,0,0.0,0,10,0,0.0%,W
19,Chandon Sullivan,MIN,0,7,5,71.4%,78,15.6,11.1,0,108.0,10.3,61,17,2,0,1,0.0,1,4,0,0.0%,W
20,Jordan Hicks,MIN,0,4,3,75.0%,53,17.7,13.3,0,116.7,0.0,-1,54,1,0,0,0.0,0,10,0,0.0%,W
21,Brian Asamoah,MIN,0,2,2,100.0%,23,11.5,11.5,0,114.6,10.0,20,3,1,0,0,0.0,0,1,0,0.0%,W
22,Harrison Smith,MIN,0,2,2,100.0%,17,8.5,8.5,0,102.1,4.5,9,8,0,0,0,0.0,0,3,0,0.0%,W
23,Danielle Hunter,MIN,0,0,0,,,,,,,,,,1,1,1,2.0,5,7,0,0.0%,W
24,Za'Darius Smith,MIN,0,0,0,,,,,,,,,,3,0,3,0.0,3,0,0,,W
25,Dalvin Tomlinson,MIN,0,0,0,,,,,,,,,,0,1,1,0.0,2,2,0,0.0%,W
26,Khyiris Tonga,MIN,0,0,0,,,,,,,,,,0,0,0,0.5,1,1,0,0.0%,W
27,D.J. Wonnum,MIN,0,0,0,,,,,,,,,,0,0,0,0.5,1,1,0,0.0%,W
28,Josh Metellus,MIN,0,0,0,,,,,,,,,,1,0,0,0.0,0,5,0,0.0%,W
0,Kyler Gordon,CHI,0,11,10,90.9%,65,6.5,5.9,0,91.3,2.2,20,45,3,0,0,0.0,0,10,0,0.0%,W
1,Jaylon Jones,CHI,0,12,9,75.0%,91,10.1,7.6,0,96.2,4.7,57,34,0,0,0,0.0,0,14,1,6.7%,W
2,Roquan Smith,CHI,0,5,5,100.0%,40,8.0,8.0,0,100.0,4.2,21,19,4,2,0,0.0,2,8,2,20.0%,W
3,Kindle Vildor,CHI,1,4,3,75.0%,47,15.7,11.8,0,74.0,10.0,28,19,0,0,0,0.0,0,6,0,0.0%,W
4,Nicholas Morrow,CHI,0,2,2,100.0%,22,11.0,11.0,0,112.5,4.0,8,14,3,0,0,0.0,0,10,0,0.0%,W
5,Al-Quadin Muhammad,CHI,0,1,1,100.0%,1,1.0,1.0,1,118.7,-3.0,-3,4,0,1,0,0.0,1,3,0,0.0%,W
6,Justin Jones,CHI,0,1,1,100.0%,23,23.0,23.0,0,118.7,-5.0,-5,28,0,0,0,1.0,1,1,0,0.0%,W
7,Jaquan Brisker,CHI,0,1,1,100.0%,15,15.0,15.0,0,118.7,7.0,7,8,0,0,0,0.0,0,5,2,28.6%,W
8,Eddie Jackson,CHI,0,1,1,100.0%,15,15.0,15.0,0,118.7,11.0,11,4,1,0,0,0.0,0,8,2,20.0%,W
9,Robert Quinn,CHI,0,0,0,,,,,,,,,,0,2,0,0.0,2,0,1,100.0%,W
10,Trevis Gipson,CHI,0,0,0,,,,,,,,,,0,0,2,0.0,2,2,0,0.0%,W
